extracted_date,priceUsd,priceUsd_shift,forecast
2023-07-19,30011.887216631836,34.78798238251329,
2023-07-20,30023.155901831364,11.268685199527681,
2023-07-21,29880.525430011854,-142.6304718195097,
2023-07-22,29913.614350021602,33.08892000974811,
2023-07-23,29985.502489393995,71.8881393723932,
2023-07-24,29472.14746470058,-513.3550246934137,
2023-07-25,29204.049274538127,-268.09819016245456,
2023-07-26,29304.466108545123,100.41683400699549,
2023-07-27,29373.06413456343,68.59802601830597,
2023-07-28,29277.999524474682,-95.06461008874612,
2023-07-29,29358.816073878294,80.81654940361113,
2023-07-30,29348.71092834221,-10.105145536083,
2023-07-31,29346.35478824883,-2.3561400933795085,
2023-08-01,29024.87969374712,-321.4750945017113,
2023-08-02,29435.910748640723,411.03105489360314,
2023-08-03,29178.86100137416,-257.0497472665629,
